paper_offset,pmcid,doi,section,Journal Title,Year,predicted_data_sharing
23710,4392315,10.3389/fninf.2015.00008,DISCUSS,Front Neuroinform,2015,1
14653,4390571,10.1534/g3.114.016162,RESULTS,G3 (Bethesda),2015,1
23825,4390571,10.1534/g3.114.016162,RESULTS,G3 (Bethesda),2015,1
24774,4390571,10.1534/g3.114.016162,FIG,G3 (Bethesda),2015,1
10292,4390318,10.1371/journal.pone.0121886,METHODS,PLoS One,2015,1
608,4389108,10.2196/jmir.3859,ABSTRACT,J Med Internet Res,2015,1
46023,4545735,10.1097/j.pain.0000000000000210,METHODS,Pain,2015,1
44432,4547401,10.1038/ncomms9013,METHODS,Nat Commun,2015,1
56664,4547401,10.1038/ncomms9013,FIG,Nat Commun,2015,1
62078,4548305,10.1186/s12915-015-0176-7,METHODS,BMC Biol,2015,1
39020,5494253,10.1007/s10488-016-0751-4,RESULTS,Adm Policy Ment Health,2016,1
44454,5482232,10.1038/nn.4421,METHODS,Nat Neurosci,2016,1
26477,5497587,10.1021/acs.molpharmaceut.7b00183,RESULTS,Mol Pharm,2017,1
28651,5497587,10.1021/acs.molpharmaceut.7b00183,DISCUSS,Mol Pharm,2017,1
64277,5484588,10.1016/j.stem.2017.04.003,METHODS,Cell Stem Cell,2017,1
40375,5485850,10.1002/adhm.201600516,METHODS,Adv Healthc Mater,2016,1
58151,5485850,10.1002/adhm.201600516,METHODS,Adv Healthc Mater,2016,1
21483,5491348,10.1162/jocn_a_01116,METHODS,J Cogn Neurosci,2017,1
28436,5491348,10.1162/jocn_a_01116,METHODS,J Cogn Neurosci,2017,1
2229,5491836,10.1016/j.socscimed.2016.08.004,INTRO,Soc Sci Med,2016,1
13514,5491836,10.1016/j.socscimed.2016.08.004,INTRO,Soc Sci Med,2016,1
30039,5491836,10.1016/j.socscimed.2016.08.004,INTRO,Soc Sci Med,2016,1
63156,5491213,10.1016/j.cub.2017.04.051,DISCUSS,Curr Biol,2017,1
40735,5491974,10.1016/j.neuron.2017.02.049,METHODS,Neuron,2017,1
2512,5493193,10.1097/YPG.0000000000000172,METHODS,Psychiatr Genet,2017,1
10498,5483189,10.1016/j.biopsych.2016.12.025,METHODS,Biol Psychiatry,2016,1
8828,5493523,10.1097/QAI.0000000000001398,METHODS,J Acquir Immune Defic Syndr,2017,1
8828,5493523,10.1097/QAI.0000000000001398,METHODS,J Acquir Immune Defic Syndr,2017,1
24775,5493523,10.1097/QAI.0000000000001398,DISCUSS,J Acquir Immune Defic Syndr,2017,1
49341,5480972,10.1016/j.neuron.2017.02.014,METHODS,Neuron,2017,1
11956,5480212,10.1016/j.artmed.2016.05.005,CONCL,Artif Intell Med,2016,1
29460,5507699,10.1007/s10461-016-1331-z,RESULTS,AIDS Behav,2016,1
33464,5502712,10.1162/jocn_a_01132,METHODS,J Cogn Neurosci,2017,1
36252,5502748,10.1016/j.neurobiolaging.2017.02.006,DISCUSS,Neurobiol Aging,2017,1
36252,5502748,10.1016/j.neurobiolaging.2017.02.006,DISCUSS,Neurobiol Aging,2017,1
10867,5507747,10.1016/j.physbeh.2017.01.018,METHODS,Physiol Behav,2017,1
21263,5505265,10.1016/j.psyneuen.2016.10.005,DISCUSS,Psychoneuroendocrinology,2016,1
28286,5505732,10.1111/1556-4029.13388,DISCUSS,J Forensic Sci,2017,1
103946,5506375,10.1021/acs.jmedchem.6b01869,METHODS,J Med Chem,2017,1
151,5505815,10.1007/s10461-017-1676-y,ABSTRACT,AIDS Behav,2017,1
23080,5499701,10.1007/s40653-015-0073-9,INTRO,J Child Adolesc Trauma,2015,1
36787,5500304,10.1080/13691058.2013.809609,DISCUSS,Cult Health Sex,2013,1
14907,5500416,10.1080/14767058.2016.1241763,DISCUSS,J Matern Fetal Neonatal Med,2017,1
23985,5500416,10.1080/14767058.2016.1241763,FIG,J Matern Fetal Neonatal Med,2017,1
9896,5526647,10.1080/87568225.2016.1251829,METHODS,J College Stud Psychother,2016,1
39152,5526071,10.1038/nprot.2017.016,METHODS,Nat Protoc,2017,1
24134,5512584,10.1016/j.jacc.2017.05.012,INTRO,J Am Coll Cardiol,2017,1
9107,5512874,10.1039/C7TB00095B,METHODS,J Mater Chem B,2017,1
57816,5519413,10.1177/1745691616689091,INTRO,Perspect Psychol Sci,2017,1
57816,5519413,10.1177/1745691616689091,INTRO,Perspect Psychol Sci,2017,1
14024,5519135,10.1007/978-3-319-47880-7_33,INTRO,Proc Int Workshop Soc Inform,2016,1
13126,5513799,10.1007/s10461-017-1682-0,RESULTS,AIDS Behav,2017,1
25367,5515289,10.1016/j.socscimed.2017.04.046,RESULTS,Soc Sci Med,2017,1
40481,5517348,10.1021/acschemneuro.7b00076,METHODS,ACS Chem Neurosci,2017,1
20776,5516903,10.1021/jm800765e,SUPPL,J Med Chem,2008,1
14302,5516904,10.1007/s10916-016-0500-y,METHODS,J Med Syst,2016,1
45102,5523817,10.1016/j.neuron.2017.04.043,METHODS,Neuron,2017,1
5191,5523445,10.1097/EDE.0000000000000622,METHODS,Epidemiology,2017,1
