paper_offset,pmcid,doi,section,Journal Title,Year,predicted_open_data
10772,4392315,10.3389/fninf.2015.00008,RESULTS,Front Neuroinform,2015,1
10772,4392315,10.3389/fninf.2015.00008,RESULTS,Front Neuroinform,2015,1
12546,4392315,10.3389/fninf.2015.00008,RESULTS,Front Neuroinform,2015,1
13930,4392315,10.3389/fninf.2015.00008,RESULTS,Front Neuroinform,2015,1
8203,4390571,10.1534/g3.114.016162,METHODS,G3 (Bethesda),2015,1
13874,4390406,10.1038/ijo.2014.206,METHODS,Int J Obes (Lond),2014,1
7620,4546313,10.1186/s12916-015-0442-0,METHODS,BMC Med,2015,1
12813,4546313,10.1186/s12916-015-0442-0,METHODS,BMC Med,2015,1
12813,4546313,10.1186/s12916-015-0442-0,METHODS,BMC Med,2015,1
12813,4546313,10.1186/s12916-015-0442-0,METHODS,BMC Med,2015,1
13683,4548446,10.1038/srep13317,METHODS,Sci Rep,2015,1
11088,5496097,10.1002/hbm.23253,METHODS,Hum Brain Mapp,2016,1
7679,5493991,10.1002/hbm.23350,METHODS,Hum Brain Mapp,2016,1
67556,5498174,10.1016/j.neuron.2017.03.025,METHODS,Neuron,2017,1
37267,5482232,10.1038/nn.4421,METHODS,Nat Neurosci,2016,1
11385,5497217,10.1097/EDE.0000000000000595,METHODS,Epidemiology,2017,1
62844,5484588,10.1016/j.stem.2017.04.003,METHODS,Cell Stem Cell,2017,1
15282,5483989,10.1016/j.bbr.2017.02.024,METHODS,Behav Brain Res,2017,1
7961,5486956,10.1016/j.jad.2017.03.061,METHODS,J Affect Disord,2017,1
2512,5493193,10.1097/YPG.0000000000000172,METHODS,Psychiatr Genet,2017,1
13987,5482502,10.1016/j.neuroscience.2017.03.061,METHODS,Neuroscience,2017,1
25036,5480972,10.1016/j.neuron.2017.02.014,RESULTS,Neuron,2017,1
17183,5507689,10.1016/j.neuron.2016.01.039,RESULTS,Neuron,2016,1
10312,5507619,10.1016/j.copsyc.2016.11.007,METHODS,Curr Opin Psychol,2016,1
1714,5507707,10.1111/jgs.14865,INTRO,J Am Geriatr Soc,2017,1
1714,5507707,10.1111/jgs.14865,INTRO,J Am Geriatr Soc,2017,1
7337,5507707,10.1111/jgs.14865,RESULTS,J Am Geriatr Soc,2017,1
13934,5507707,10.1111/jgs.14865,DISCUSS,J Am Geriatr Soc,2017,1
12283,5502527,10.1016/j.pnpbp.2017.04.009,RESULTS,Prog Neuropsychopharmacol Biol Psychiatry,2017,1
33464,5502712,10.1162/jocn_a_01132,METHODS,J Cogn Neurosci,2017,1
528,5502784,10.1016/j.addbeh.2017.05.006,ABSTRACT,Addict Behav,2017,1
4855,5502784,10.1016/j.addbeh.2017.05.006,METHODS,Addict Behav,2017,1
27677,5510046,10.1109/TMI.2016.2536559,RESULTS,IEEE Trans Med Imaging,2016,1
7864,5509516,10.1016/j.biopsych.2017.01.003,INTRO,Biol Psychiatry,2017,1
11618,5509516,10.1016/j.biopsych.2017.01.003,METHODS,Biol Psychiatry,2017,1
15394,5505504,10.1016/j.pscychresns.2017.05.003,METHODS,Psychiatry Res,2017,1
18590,5505504,10.1016/j.pscychresns.2017.05.003,METHODS,Psychiatry Res,2017,1
15231,5503781,10.1037/ort0000232,METHODS,Am J Orthopsychiatry,2017,1
3242,5501322,10.1001/jamapsychiatry.2016.3849,INTRO,JAMA Psychiatry,2017,1
15066,5501086,10.1002/ajmg.b.32448,METHODS,Am J Med Genet B Neuropsychiatr Genet,2016,1
15066,5501086,10.1002/ajmg.b.32448,METHODS,Am J Med Genet B Neuropsychiatr Genet,2016,1
6874,5499253,10.1038/nature20111,INTRO,Nature,2016,1
37219,5499253,10.1038/nature20111,METHODS,Nature,2016,1
39124,5501959,10.1016/j.neuroimage.2017.02.002,DISCUSS,Neuroimage,2017,1
4544,5511788,10.1007/978-1-4939-3569-7_4,METHODS,Methods Mol Biol,2016,1
4888,5511788,10.1007/978-1-4939-3569-7_4,METHODS,Methods Mol Biol,2016,1
39773,5512437,10.1016/j.bpsc.2016.07.002,FIG,Biol Psychiatry Cogn Neurosci Neuroimaging,2017,1
62350,5527978,10.1016/j.cell.2017.05.006,METHODS,Cell,2017,1
3447,5526749,10.1016/j.jfludis.2017.01.002,INTRO,J Fluency Disord,2017,1
14785,5526217,10.1016/j.ygeno.2017.03.004,METHODS,Genomics,2017,1
14423,5526630,10.1016/j.bpsc.2016.05.004,METHODS,Biol Psychiatry Cogn Neurosci Neuroimaging,2017,1
6993,5526681,10.1038/nprot.2016.178,INTRO,Nat Protoc,2017,1
23951,5526681,10.1038/nprot.2016.178,INTRO,Nat Protoc,2017,1
43336,5526681,10.1038/nprot.2016.178,METHODS,Nat Protoc,2017,1
8327,5513169,10.1016/j.bpsc.2017.02.004,METHODS,Biol Psychiatry Cogn Neurosci Neuroimaging,2017,1
7536,5515235,10.1016/j.jad.2016.10.042,METHODS,J Affect Disord,2016,1
11034,5513806,10.1002/aur.1776,METHODS,Autism Res,2017,1
12944,5513801,10.1002/mrm.26596,METHODS,Magn Reson Med,2017,1
26902,5518924,10.1016/bs.apha.2016.01.006,INTRO,Adv Pharmacol,2016,1
22742,5517348,10.1021/acschemneuro.7b00076,RESULTS,ACS Chem Neurosci,2017,1
8323,5515699,10.1111/biom.12648,INTRO,Biometrics,2017,1
69903,5523817,10.1016/j.neuron.2017.04.043,METHODS,Neuron,2017,1
13579,5525324,10.1177/0883073816654143,METHODS,J Child Neurol,2016,1
19776,5525143,10.1016/j.addbeh.2016.11.019,RESULTS,Addict Behav,2016,1
10017,5522367,10.1016/j.biopsych.2017.01.008,METHODS,Biol Psychiatry,2017,1
25523,5521186,10.1016/j.neuron.2017.03.047,METHODS,Neuron,2017,1
18424,5545750,10.1111/nyas.13325,INTRO,Ann N Y Acad Sci,2017,1
19382,5545802,10.1007/s10488-015-0709-y,METHODS,Adm Policy Ment Health,2016,1
5167,5542865,10.1002/da.22621,METHODS,Depress Anxiety,2017,1
4224,5543413,10.1016/j.neuroimage.2016.10.040,INTRO,Neuroimage,2016,1
6985,5538019,10.1007/s10461-017-1801-y,METHODS,AIDS Behav,2017,1
17167,5536834,10.1177/0956797615569002,METHODS,Psychol Sci,2015,1
13924,5540146,10.1002/glia.23176,METHODS,Glia,2017,1
44333,5540146,10.1002/glia.23176,RESULTS,Glia,2017,1
69290,5540146,10.1002/glia.23176,FIG,Glia,2017,1
6131,5540327,10.1007/s40596-016-0496-0,INTRO,Acad Psychiatry,2016,1
13734,5540327,10.1007/s40596-016-0496-0,INTRO,Acad Psychiatry,2016,1
10878,5539843,10.1001/jamapsychiatry.2017.0669,METHODS,JAMA Psychiatry,2017,1
16938,5532062,10.1007/s10508-017-0997-2,RESULTS,Arch Sex Behav,2017,1
8234,5529137,10.1016/j.jadohealth.2017.02.012,METHODS,J Adolesc Health,2017,1
6319,5534349,10.3233/JAD-161057,METHODS,J Alzheimers Dis,2017,1
24217,5549862,10.1038/nrn.2015.26,INTRO,Nat Rev Neurosci,2016,1
28769,5548630,10.1016/j.neuroimage.2017.05.009,DISCUSS,Neuroimage,2017,1
4751,5548601,10.1016/j.neuroimage.2017.04.023,INTRO,Neuroimage,2017,1
7698,5546738,10.1007/s10519-017-9838-2,METHODS,Behav Genet,2017,1
9934,5546738,10.1007/s10519-017-9838-2,METHODS,Behav Genet,2017,1
2337,5546409,10.1176/appi.ajp.2016.16111314,INTRO,Am J Psychiatry,2017,1
3649,5546998,10.1002/hbm.23664,INTRO,Hum Brain Mapp,2017,1
